region,postcode_sector,year,avg_price,volume
East England,PE1 1,2018,209000,28
East England,PE1 2,2018,149000,137
East England,PE1 3,2018,160000,155
East England,PE1 4,2018,177000,217
East England,PE1 5,2018,146000,143
East England,PE10 0,2018,229000,385
East England,PE10 9,2018,216000,212
East England,PE11 1,2018,179000,191
East England,PE11 2,2018,171000,170
East England,PE11 3,2018,191000,307
East England,PE11 4,2018,198000,138
East England,PE12 0,2018,226000,101
East England,PE12 6,2018,245000,211
East England,PE12 7,2018,170000,192
East England,PE12 8,2018,214000,91
East England,PE12 9,2018,183000,235
East England,PE13 1,2018,171000,65
East England,PE13 2,2018,162000,157
East England,PE13 3,2018,152000,233
East England,PE13 4,2018,229000,147
East England,PE13 5,2018,238000,111
East England,PE14 0,2018,198000,100
East England,PE14 7,2018,237000,104
East England,PE14 8,2018,217000,100
East England,PE14 9,2018,247000,69
East England,PE15 0,2018,255000,189
East England,PE15 8,2018,181000,235
East England,PE15 9,2018,203000,166
East England,PE16 6,2018,199000,240
East England,PE19 1,2018,264000,118
East England,PE19 2,2018,251000,176
East England,PE19 5,2018,348000,82
East England,PE19 6,2018,332000,188
East England,PE19 7,2018,347000,98
East England,PE19 8,2018,256000,133
East England,PE2 5,2018,166000,219
East England,PE2 6,2018,245000,66
East England,PE2 7,2018,270000,57
East England,PE2 8,2018,194000,397
East England,PE2 9,2018,177000,198
East England,PE20 1,2018,190000,148
East England,PE20 2,2018,190000,50
East England,PE20 3,2018,200000,131
East England,PE21 0,2018,156000,181
East England,PE21 6,2018,117000,43
East England,PE21 7,2018,169000,236
East England,PE21 8,2018,125000,193
East England,PE21 9,2018,161000,143
East England,PE22 0,2018,220000,82
East England,PE22 7,2018,206000,56
East England,PE22 8,2018,209000,51
East England,PE22 9,2018,182000,37
East England,PE23 4,2018,250000,45
East England,PE23 5,2018,186000,131
East England,PE24 4,2018,179000,67
East England,PE24 5,2018,172000,187
East England,PE25 1,2018,160000,137
East England,PE25 2,2018,134000,152
East England,PE25 3,2018,172000,91
East England,PE26 1,2018,218000,126
East England,PE26 2,2018,256000,103
East England,PE27 3,2018,254000,119
East England,PE27 4,2018,333000,34
East England,PE27 5,2018,305000,84
East England,PE27 6,2018,327000,109
East England,PE28 0,2018,388000,74
East England,PE28 2,2018,279000,156
East England,PE28 3,2018,291000,164
East England,PE28 4,2018,350000,325
East England,PE28 5,2018,307000,134
East England,PE28 9,2018,392000,141
East England,PE29 1,2018,255000,175
East England,PE29 2,2018,304000,178
East England,PE29 3,2018,214000,93
East England,PE29 6,2018,290000,83
East England,PE29 7,2018,177000,38
East England,PE3 6,2018,277000,130
East England,PE3 7,2018,138000,54
East England,PE3 8,2018,160000,89
East England,PE3 9,2018,218000,141
East England,PE30 1,2018,129000,46
East England,PE30 2,2018,134000,99
East England,PE30 3,2018,230000,256
East England,PE30 4,2018,168000,204
East England,PE30 5,2018,144000,140
East England,PE31 6,2018,285000,131
East England,PE31 7,2018,227000,196
East England,PE31 8,2018,515000,127
East England,PE32 1,2018,270000,139
East England,PE32 2,2018,287000,110
East England,PE33 0,2018,236000,128
East England,PE33 9,2018,258000,106
East England,PE34 3,2018,220000,76
East England,PE34 4,2018,236000,140
East England,PE36 5,2018,301000,91
East England,PE36 6,2018,389000,69
East England,PE37 7,2018,198000,124
East England,PE37 8,2018,246000,142
East England,PE38 0,2018,245000,73
East England,PE38 9,2018,217000,234
East England,PE4 5,2018,191000,110
East England,PE4 6,2018,187000,182
East England,PE4 7,2018,184000,263
East England,PE5 7,2018,478000,18
East England,PE6 0,2018,224000,173
East England,PE6 7,2018,284000,156
East England,PE6 8,2018,242000,277
East England,PE6 9,2018,285000,109
East England,PE7 0,2018,190000,63
East England,PE7 1,2018,214000,271
East England,PE7 2,2018,219000,81
East England,PE7 3,2018,243000,310
East England,PE7 8,2018,218000,603
East England,PE8 4,2018,326000,90
East England,PE8 5,2018,480000,51
East England,PE8 6,2018,344000,121
East England,PE9 1,2018,244000,198
East England,PE9 2,2018,392000,273
East England,PE9 3,2018,438000,127
East England,PE9 4,2018,332000,95
East Midlands,DE1 1,2018,110000,117
East Midlands,DE1 2,2018,129000,36
East Midlands,DE1 3,2018,176000,126
East Midlands,DE11 0,2018,165000,287
East Midlands,DE11 7,2018,164000,184
East Midlands,DE11 8,2018,178000,210
East Midlands,DE11 9,2018,172000,325
East Midlands,DE12 6,2018,238000,184
East Midlands,DE12 7,2018,236000,195
East Midlands,DE12 8,2018,308000,48
East Midlands,DE13 0,2018,204000,409
East Midlands,DE13 7,2018,422000,79
East Midlands,DE13 8,2018,346000,200
East Midlands,DE13 9,2018,259000,265
East Midlands,DE14 1,2018,137000,71
East Midlands,DE14 2,2018,147000,338
East Midlands,DE14 3,2018,150000,282
East Midlands,DE15 0,2018,254000,155
East Midlands,DE15 9,2018,177000,246
East Midlands,DE21 2,2018,195000,265
East Midlands,DE21 4,2018,151000,218
East Midlands,DE21 5,2018,313000,50
East Midlands,DE21 6,2018,136000,201
East Midlands,DE21 7,2018,177000,199
East Midlands,DE22 1,2018,259000,121
East Midlands,DE22 2,2018,267000,270
East Midlands,DE22 3,2018,132000,307
East Midlands,DE22 4,2018,223000,295
East Midlands,DE22 5,2018,556000,11
East Midlands,DE23 1,2018,173000,142
East Midlands,DE23 2,2018,173000,48
East Midlands,DE23 3,2018,254000,286
East Midlands,DE23 4,2018,232000,46
East Midlands,DE23 6,2018,174000,215
East Midlands,DE23 8,2018,97000,189
East Midlands,DE24 0,2018,141000,251
East Midlands,DE24 1,2018,156000,35
East Midlands,DE24 3,2018,179000,162
East Midlands,DE24 5,2018,229000,100
East Midlands,DE24 8,2018,112000,219
East Midlands,DE24 9,2018,138000,188
East Midlands,DE3 0,2018,252000,233
East Midlands,DE3 9,2018,243000,160
East Midlands,DE4 2,2018,299000,149
East Midlands,DE4 3,2018,239000,232
East Midlands,DE4 4,2018,231000,131
East Midlands,DE4 5,2018,306000,155
East Midlands,DE45 1,2018,370000,135
East Midlands,DE5 3,2018,164000,223
East Midlands,DE5 8,2018,178000,90
East Midlands,DE5 9,2018,172000,98
East Midlands,DE55 1,2018,177000,158
East Midlands,DE55 2,2018,133000,131
East Midlands,DE55 3,2018,175000,77
East Midlands,DE55 4,2018,123000,119
East Midlands,DE55 5,2018,169000,183
East Midlands,DE55 6,2018,217000,153
East Midlands,DE55 7,2018,185000,223
East Midlands,DE56 0,2018,206000,220
East Midlands,DE56 1,2018,201000,301
East Midlands,DE56 2,2018,289000,146
East Midlands,DE56 4,2018,361000,104
East Midlands,DE6 1,2018,275000,237
East Midlands,DE6 2,2018,310000,63
East Midlands,DE6 3,2018,328000,77
East Midlands,DE6 4,2018,374000,7
East Midlands,DE6 5,2018,320000,60
East Midlands,DE65 5,2018,214000,306
East Midlands,DE65 6,2018,284000,241
East Midlands,DE7 4,2018,175000,290
East Midlands,DE7 5,2018,133000,205
East Midlands,DE7 6,2018,239000,187
East Midlands,DE7 8,2018,121000,239
East Midlands,DE7 9,2018,166000,47
East Midlands,DE72 2,2018,325000,129
East Midlands,DE72 3,2018,241000,270
East Midlands,DE73 5,2018,213000,83
East Midlands,DE73 6,2018,230000,234
East Midlands,DE73 7,2018,500000,19
East Midlands,DE73 8,2018,309000,118
East Midlands,DE74 2,2018,239000,228
East Midlands,DE75 7,2018,147000,326
East Midlands,DN1 1,2018,64000,7
East Midlands,DN1 2,2018,107000,127
East Midlands,DN1 3,2018,73000,33
East Midlands,DN10 4,2018,228000,91
East Midlands,DN10 5,2018,275000,25
