region,postcode_sector,year,avg_price,volume,delta
East England,PE1 1,1999,77000,20,57
East England,PE1 2,1999,46000,204,10
East England,PE1 3,1999,52000,254,11
East England,PE1 4,1999,58000,290,4
East England,PE1 5,1999,40000,168,3
East England,PE10 0,1999,83000,263,8
East England,PE10 9,1999,72000,358,4
East England,PE11 1,1999,56000,245,4
East England,PE11 2,1999,54000,247,2
East England,PE11 3,1999,69000,363,13
East England,PE11 4,1999,65000,199,16
East England,PE12 0,1999,71000,142,11
East England,PE12 6,1999,75000,233,23
East England,PE12 7,1999,57000,297,6
East England,PE12 8,1999,60000,138,7
East England,PE12 9,1999,56000,287,10
East England,PE13 1,1999,58000,74,16
East England,PE13 2,1999,47000,195,0
East England,PE13 3,1999,46000,211,12
East England,PE13 4,1999,67000,111,10
East England,PE13 5,1999,66000,114,10
East England,PE14 0,1999,61000,124,9
East England,PE14 7,1999,73000,155,24
East England,PE14 8,1999,65000,133,8
East England,PE14 9,1999,64000,101,12
East England,PE15 0,1999,68000,242,5
East England,PE15 8,1999,51000,366,6
East England,PE15 9,1999,57000,240,6
East England,PE16 6,1999,56000,314,14
East England,PE17 5,1999,60000,1,140
East England,PE18 6,1999,135000,1,50
East England,PE19 1,1999,83000,212,0
East England,PE19 2,1999,62000,277,5
East England,PE19 5,1999,127000,164,9
East England,PE19 6,1999,110000,167,20
East England,PE19 7,1999,85000,151,9
East England,PE19 8,1999,71000,244,-3
East England,PE2 5,1999,47000,355,-8
East England,PE2 6,1999,91000,107,18
East England,PE2 7,1999,92000,143,30
East England,PE2 8,1999,64000,466,8
East England,PE2 9,1999,43000,239,2
East England,PE20 1,1999,57000,90,4
East England,PE20 2,1999,55000,40,12
East England,PE20 3,1999,58000,86,4
East England,PE21 0,1999,49000,237,11
East England,PE21 6,1999,39000,75,-5
East England,PE21 7,1999,55000,215,10
East England,PE21 8,1999,36000,249,-3
East England,PE21 9,1999,56000,249,-2
East England,PE22 0,1999,66000,152,14
East England,PE22 7,1999,56000,69,4
East England,PE22 8,1999,63000,80,7
East England,PE22 9,1999,60000,66,-9
East England,PE23 4,1999,102000,60,59
East England,PE23 5,1999,52000,120,-4
East England,PE24 4,1999,54000,74,-2
East England,PE24 5,1999,51000,234,11
East England,PE25 1,1999,57000,159,8
East England,PE25 2,1999,47000,154,-10
East England,PE25 3,1999,65000,160,7
East England,PE26 1,1999,71000,137,0
East England,PE26 2,1999,81000,176,37
East England,PE27 3,1999,71000,283,18
East England,PE27 4,1999,102000,52,0
East England,PE27 5,1999,94000,177,12
East England,PE27 6,1999,86000,95,13
East England,PE28 0,1999,136000,175,11
East England,PE28 2,1999,112000,181,15
East England,PE28 3,1999,99000,274,11
East England,PE28 4,1999,98000,350,9
East England,PE28 5,1999,87000,233,12
East England,PE28 9,1999,139000,151,9
East England,PE29 1,1999,84000,314,22
East England,PE29 2,1999,90000,210,6
East England,PE29 3,1999,57000,68,-2
East England,PE29 6,1999,97000,293,11
East England,PE29 7,1999,44000,77,5
East England,PE3 6,1999,90000,136,12
East England,PE3 7,1999,34000,64,10
East England,PE3 8,1999,44000,155,13
East England,PE3 9,1999,71000,209,18
East England,PE30 1,1999,51000,64,-88
East England,PE30 2,1999,37000,109,6
East England,PE30 3,1999,67000,303,8
East England,PE30 4,1999,53000,301,23
East England,PE30 5,1999,43000,187,19
East England,PE31 6,1999,78000,241,13
East England,PE31 7,1999,68000,228,13
East England,PE31 8,1999,119000,164,28
East England,PE32 1,1999,81000,195,11
East England,PE32 2,1999,78000,135,3
East England,PE33 0,1999,70000,224,1
East England,PE33 9,1999,72000,140,3
East England,PE34 3,1999,63000,116,5
East England,PE34 4,1999,65000,166,8
East England,PE36 5,1999,69000,155,15
East England,PE36 6,1999,95000,142,4
East England,PE37 7,1999,66000,179,5
East England,PE37 8,1999,65000,66,-2
East England,PE38 0,1999,73000,108,12
East England,PE38 9,1999,65000,224,12
East England,PE4 5,1999,58000,224,5
East England,PE4 6,1999,60000,231,5
East England,PE4 7,1999,53000,267,8
East England,PE5 7,1999,138000,28,27
East England,PE6 0,1999,65000,128,-2
East England,PE6 7,1999,86000,218,26
East England,PE6 8,1999,75000,385,12
East England,PE6 9,1999,89000,173,-3
East England,PE7 1,1999,64000,414,12
East England,PE7 2,1999,68000,125,3
East England,PE7 3,1999,72000,436,12
East England,PE7 8,1999,102000,158,4
East England,PE8 4,1999,105000,195,7
East England,PE8 5,1999,181000,82,6
East England,PE8 6,1999,121000,150,7
East England,PE9 1,1999,63000,237,7
East England,PE9 2,1999,92000,352,16
East England,PE9 3,1999,138000,126,5
East England,PE9 4,1999,102000,192,11
East Midlands,DE1 1,1999,44000,85,-10
East Midlands,DE1 2,1999,51000,23,-4
East Midlands,DE1 3,1999,57000,123,27
East Midlands,DE11 0,1999,55000,306,17
East Midlands,DE11 7,1999,56000,181,4
East Midlands,DE11 8,1999,58000,97,12
East Midlands,DE11 9,1999,51000,320,9
East Midlands,DE12 6,1999,71000,180,13
East Midlands,DE12 7,1999,76000,227,10
East Midlands,DE12 8,1999,114000,76,10
East Midlands,DE13 0,1999,61000,419,11
East Midlands,DE13 7,1999,158000,104,5
East Midlands,DE13 8,1999,106000,162,-5
East Midlands,DE13 9,1999,89000,183,3
East Midlands,DE14 1,1999,42000,39,0
East Midlands,DE14 2,1999,38000,218,9
East Midlands,DE14 3,1999,58000,494,12
East Midlands,DE15 0,1999,71000,147,13
East Midlands,DE15 9,1999,61000,294,11
East Midlands,DE21 2,1999,64000,486,5
East Midlands,DE21 4,1999,58000,259,-6
East Midlands,DE21 5,1999,99000,58,9
East Midlands,DE21 6,1999,40000,281,-2
East Midlands,DE21 7,1999,54000,212,8
East Midlands,DE22 1,1999,87000,127,12
East Midlands,DE22 2,1999,81000,288,4
East Midlands,DE22 3,1999,38000,346,9
East Midlands,DE22 4,1999,49000,82,20
East Midlands,DE22 5,1999,199000,32,12
East Midlands,DE23 1,1999,62000,216,13
East Midlands,DE23 2,1999,81000,51,16
East Midlands,DE23 3,1999,107000,231,9
East Midlands,DE23 4,1999,73000,64,3
East Midlands,DE23 6,1999,51000,320,6
East Midlands,DE23 8,1999,26000,247,13
East Midlands,DE24 0,1999,43000,352,5
East Midlands,DE24 3,1999,53000,215,10
East Midlands,DE24 5,1999,79000,73,-6
East Midlands,DE24 8,1999,29000,250,12
East Midlands,DE24 9,1999,40000,189,0
East Midlands,DE3 0,1999,94000,264,18
East Midlands,DE3 9,1999,78000,159,11
East Midlands,DE4 2,1999,94000,162,7
East Midlands,DE4 3,1999,76000,258,3
East Midlands,DE4 4,1999,80000,141,10
East Midlands,DE4 5,1999,102000,155,-4
East Midlands,DE45 1,1999,114000,167,12
East Midlands,DE5 3,1999,55000,278,6
East Midlands,DE5 8,1999,49000,87,11
East Midlands,DE5 9,1999,46000,93,2
East Midlands,DE55 1,1999,48000,157,-8
East Midlands,DE55 2,1999,47000,150,-2
East Midlands,DE55 3,1999,62000,130,13
East Midlands,DE55 4,1999,45000,151,22
East Midlands,DE55 5,1999,48000,109,14
East Midlands,DE55 6,1999,57000,93,0
East Midlands,DE55 7,1999,50000,132,16
East Midlands,DE56 0,1999,62000,326,-6
East Midlands,DE56 1,1999,60000,413,18
East Midlands,DE56 2,1999,85000,167,21
East Midlands,DE56 4,1999,127000,127,7
East Midlands,DE6 1,1999,106000,224,5
East Midlands,DE6 2,1999,101000,88,-14
East Midlands,DE6 3,1999,151000,56,23
East Midlands,DE6 4,1999,148000,12,38
East Midlands,DE6 5,1999,100000,72,-7
East Midlands,DE65 5,1999,83000,316,9
East Midlands,DE65 6,1999,95000,227,20
East Midlands,DE7 4,1999,60000,317,22
East Midlands,DE7 5,1999,40000,184,8
East Midlands,DE7 6,1999,68000,243,6
East Midlands,DE7 8,1999,47000,244,21
East Midlands,DE7 9,1999,62000,194,-2
East Midlands,DE72 2,1999,103000,105,4
East Midlands,DE72 3,1999,75000,330,-1
East Midlands,DE73 1,1999,181000,5,-7
East Midlands,DE73 5,1999,62000,51,-16
East Midlands,DE73 6,1999,69000,216,5
East Midlands,DE73 7,1999,124000,26,1
East Midlands,DE73 8,1999,90000,142,11
East Midlands,DE74 2,1999,84000,217,9
East Midlands,DE75 7,1999,51000,451,6
East Midlands,DN1 1,1999,37000,8,-37
East Midlands,DN1 2,1999,29000,133,-12
East Midlands,DN1 3,1999,27000,7,-29
East Midlands,DN10 4,1999,70000,97,3
East Midlands,DN10 5,1999,96000,35,26
East Midlands,DN10 6,1999,82000,123,-8
East Midlands,DN11 0,1999,51000,269,4
