year,region,property_type,avg_price,volume
1995,East England,D,72000,6170
1995,East England,F,34000,598
1995,East England,S,45000,4092
1995,East England,T,37000,3131
1995,East Midlands,D,78000,21593
1995,East Midlands,F,35000,1948
1995,East Midlands,S,44000,26770
1995,East Midlands,T,33000,19057
1995,East of England,D,108000,23381
1995,East of England,F,42000,9225
1995,East of England,S,63000,22951
1995,East of England,T,52000,20576
1995,Greater London,D,195000,10505
1995,Greater London,F,78000,50779
1995,Greater London,S,103000,26517
1995,Greater London,T,94000,42193
1995,North East,D,92000,14512
1995,North East,F,38000,5435
1995,North East,S,51000,24035
1995,North East,T,38000,24716
1995,North West,D,94000,21568
1995,North West,F,43000,5976
1995,North West,S,51000,40216
1995,North West,T,34000,43996
1995,South East,D,127000,36397
1995,South East,F,45000,19746
1995,South East,S,69000,35687
1995,South East,T,56000,34757
1995,South West,D,98000,26970
1995,South West,F,46000,10266
1995,South West,S,58000,22469
1995,South West,T,48000,25829
1995,Wales,D,77000,10050
1995,Wales,F,40000,1577
1995,Wales,S,48000,11443
1995,Wales,T,36000,12671
1995,West Midlands,D,96000,20655
1995,West Midlands,F,39000,5154
1995,West Midlands,S,51000,28585
1995,West Midlands,T,40000,23944
1996,East England,D,73000,7893
1996,East England,F,32000,676
1996,East England,S,46000,4864
1996,East England,T,37000,3670
1996,East Midlands,D,81000,26220
1996,East Midlands,F,37000,2084
1996,East Midlands,S,45000,30332
1996,East Midlands,T,33000,21137
1996,East of England,D,111000,30074
1996,East of England,F,42000,10522
1996,East of England,S,65000,27749
1996,East of England,T,53000,25942
1996,Greater London,D,206000,13779
1996,Greater London,F,86000,63336
1996,Greater London,S,108000,32848
1996,Greater London,T,99000,52491
1996,North East,D,94000,18009
1996,North East,F,39000,6228
1996,North East,S,52000,28305
1996,North East,T,38000,27239
1996,North West,D,96000,25838
1996,North West,F,45000,6910
1996,North West,S,52000,46818
1996,North West,T,35000,47373
1996,South East,D,132000,46961
1996,South East,F,47000,23480
1996,South East,S,72000,43322
1996,South East,T,58000,43100
1996,South West,D,101000,36595
1996,South West,F,48000,12648
1996,South West,S,60000,27780
1996,South West,T,49000,32963
1996,Wales,D,78000,12991
1996,Wales,F,41000,1741
1996,Wales,S,48000,13892
1996,Wales,T,37000,15101
1996,West Midlands,D,98000,26129
1996,West Midlands,F,40000,6068
1996,West Midlands,S,52000,33650
1996,West Midlands,T,41000,27477
1997,East England,D,78000,9029
1997,East England,F,35000,902
1997,East England,S,48000,5458
1997,East England,T,39000,4053
1997,East Midlands,D,85000,30080
1997,East Midlands,F,39000,2442
1997,East Midlands,S,47000,33433
1997,East Midlands,T,35000,23048
1997,East of England,D,122000,33764
1997,East of England,F,47000,13035
1997,East of England,S,71000,30908
1997,East of England,T,59000,30289
1997,Greater London,D,234000,14654
1997,Greater London,F,98000,80922
1997,Greater London,S,126000,34657
1997,Greater London,T,115000,57926
1997,North East,D,99000,20229
1997,North East,F,42000,7185
1997,North East,S,54000,30930
1997,North East,T,41000,29341
1997,North West,D,102000,30484
1997,North West,F,47000,7677
1997,North West,S,55000,51417
1997,North West,T,36000,52042
1997,South East,D,148000,50406
1997,South East,F,52000,30698
1997,South East,S,80000,47583
1997,South East,T,65000,50262
1997,South West,D,112000,41167
1997,South West,F,52000,15565
1997,South West,S,65000,31221
1997,South West,T,54000,38843
1997,Wales,D,84000,14830
1997,Wales,F,44000,2290
1997,Wales,S,51000,15179
1997,Wales,T,39000,17438
1997,West Midlands,D,106000,29269
1997,West Midlands,F,42000,7131
1997,West Midlands,S,56000,36860
1997,West Midlands,T,44000,30622
1998,East England,D,86000,8713
1998,East England,F,36000,907
1998,East England,S,52000,5336
1998,East England,T,47000,4411
1998,East Midlands,D,91000,29595
1998,East Midlands,F,42000,2561
1998,East Midlands,S,49000,33110
1998,East Midlands,T,36000,23375
1998,East of England,D,136000,30634
1998,East of England,F,50000,13101
1998,East of England,S,79000,29414
1998,East of England,T,65000,28539
1998,Greater London,D,278000,12912
1998,Greater London,F,111000,79671
1998,Greater London,S,143000,30778
1998,Greater London,T,129000,54411
1998,North East,D,101000,20023
1998,North East,F,45000,7419
1998,North East,S,56000,30097
1998,North East,T,42000,28927
1998,North West,D,107000,30502
1998,North West,F,51000,7924
1998,North West,S,57000,50436
1998,North West,T,38000,51109
1998,South East,D,168000,45033
1998,South East,F,58000,30212
1998,South East,S,91000,44294
1998,South East,T,73000,47445
1998,South West,D,123000,37838
1998,South West,F,57000,15948
1998,South West,S,71000,29814
1998,South West,T,58000,37642
1998,Wales,D,89000,14335
1998,Wales,F,46000,2214
1998,Wales,S,53000,13992
1998,Wales,T,41000,16701
1998,West Midlands,D,115000,27531
1998,West Midlands,F,45000,7157
1998,West Midlands,S,60000,35119
1998,West Midlands,T,47000,30162
